NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,9.02125E-03,7.01952E-03,568.492,9.95316E+06
2,9.02126E-03,4.01242E-03,568.473,1.02817E+06
3,11.0260E-03,4.01243E-03,568.467,228.235E+03
4,11.0260E-03,-4.00644E-03,568.128,704.219E+03
8,-42.7492E-39,7.01939E-03,568.276,-3.19309E+06
9,-2.79615E-36,-4.00646E-03,568.060,1.89083E+06
10,9.02127E-03,6.81904E-03,568.490,9.60625E+06
11,9.02125E-03,6.54529E-03,568.489,6.72767E+06
12,9.02127E-03,6.17150E-03,568.488,3.81231E+06
13,9.02126E-03,5.66108E-03,568.485,2.79869E+06
14,9.02127E-03,4.96412E-03,568.482,1.75474E+06
15,10.0236E-03,4.01243E-03,568.476,559.577E+03
16,11.0260E-03,3.01007E-03,568.443,391.660E+03
17,11.0260E-03,1.51826E-03,568.398,270.582E+03
18,11.0260E-03,-702.010E-06,568.315,345.148E+03
47,8.82079E-03,7.01950E-03,568.483,6.92877E+06
48,8.62031E-03,7.01950E-03,568.476,3.34686E+06
49,8.41984E-03,7.01949E-03,568.468,1.68148E+06
50,8.21936E-03,7.01949E-03,568.458,848.925E+03
51,8.01890E-03,7.01948E-03,568.446,-707.408E+03
52,7.81842E-03,7.01947E-03,568.430,-2.44836E+06
53,7.61796E-03,7.01947E-03,568.420,-966.515E+03
54,7.41748E-03,7.01947E-03,568.411,32.0447E+03
55,7.21701E-03,7.01946E-03,568.404,-174.908E+03
56,7.01653E-03,7.01946E-03,568.397,-237.765E+03
57,6.81607E-03,7.01946E-03,568.390,-510.061E+03
58,6.61559E-03,7.01946E-03,568.384,-646.922E+03
59,6.41512E-03,7.01945E-03,568.378,-806.191E+03
60,6.21464E-03,7.01945E-03,568.372,-974.062E+03
61,6.01418E-03,7.01945E-03,568.366,-1.10244E+06
62,5.81370E-03,7.01944E-03,568.361,-1.24036E+06
63,5.61323E-03,7.01944E-03,568.355,-1.42179E+06
64,5.41275E-03,7.01944E-03,568.350,-1.54542E+06
