NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0565E-03,39.6921E-03,422.767,10.8718E+06
2,29.1423E-03,39.6921E-03,422.760,12.1145E+06
3,26.2282E-03,39.6921E-03,422.737,18.9141E+06
4,23.3139E-03,39.6921E-03,422.694,22.5736E+06
5,20.3997E-03,39.6921E-03,422.625,24.7225E+06
6,17.4855E-03,39.6921E-03,422.523,26.0376E+06
7,14.5712E-03,39.6921E-03,422.387,27.3345E+06
8,11.6570E-03,39.6921E-03,422.221,28.2904E+06
9,8.74273E-03,39.6921E-03,422.046,28.7998E+06
10,5.82849E-03,39.6921E-03,421.889,29.0453E+06
11,2.91424E-03,39.6921E-03,421.777,29.1449E+06
12,-3.90339E-33,39.6921E-03,421.726,29.1696E+06
13,32.0567E-03,36.3531E-03,430.274,8.06213E+06
14,29.1424E-03,36.3530E-03,430.267,7.76075E+06
15,26.2282E-03,36.3530E-03,430.246,13.2612E+06
16,23.3140E-03,36.3530E-03,430.205,15.3831E+06
17,20.3997E-03,36.3530E-03,430.138,16.2182E+06
18,17.4855E-03,36.3530E-03,430.033,16.8480E+06
19,14.5712E-03,36.3530E-03,429.883,17.5101E+06
20,11.6570E-03,36.3530E-03,429.690,18.1183E+06
21,8.74273E-03,36.3530E-03,429.479,18.6796E+06
22,5.82849E-03,36.3530E-03,429.288,19.1377E+06
23,2.91424E-03,36.3530E-03,429.154,19.4310E+06
24,-369.502E-39,36.3530E-03,429.090,19.5584E+06
25,32.0570E-03,33.0140E-03,436.645,2.63435E+06
26,29.1427E-03,33.0138E-03,436.639,1.89596E+06
27,26.2283E-03,33.0137E-03,436.623,3.15108E+06
28,23.3141E-03,33.0137E-03,436.591,4.39487E+06
29,20.3998E-03,33.0137E-03,436.535,4.96698E+06
30,17.4855E-03,33.0137E-03,436.438,5.47345E+06
31,14.5712E-03,33.0137E-03,436.257,6.16583E+06
32,11.6570E-03,33.0137E-03,435.973,7.10982E+06
33,8.74273E-03,33.0137E-03,435.633,8.17583E+06
34,5.82848E-03,33.0137E-03,435.327,9.18943E+06
35,2.91424E-03,33.0137E-03,435.132,9.86671E+06
36,3.86495E-36,33.0137E-03,435.073,9.83059E+06
37,32.0572E-03,29.6746E-03,441.886,1.66823E+06
38,29.1429E-03,29.6744E-03,441.885,804.844E+03
39,26.2285E-03,29.6743E-03,441.876,-3.15047E+06
40,23.3141E-03,29.6743E-03,441.861,-1.68143E+06
41,20.3998E-03,29.6743E-03,441.830,1.46930E+06
42,17.4855E-03,29.6742E-03,441.769,3.59290E+06
43,14.5713E-03,29.6742E-03,441.650,5.16616E+06
44,11.6570E-03,29.6743E-03,441.158,6.64178E+06
45,8.74273E-03,29.6743E-03,440.338,8.08421E+06
46,5.82848E-03,29.6743E-03,439.820,9.28109E+06
47,2.91424E-03,29.6743E-03,439.727,10.0269E+06
48,11.1044E-39,29.6743E-03,439.622,9.74721E+06
