NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,9.01482E-03,14.6519E-03,404.209,-1.83474E+06
2,9.01468E-03,21.6635E-03,401.041,3.87375E+06
3,11.0179E-03,21.6635E-03,400.485,4.88621E+06
4,11.0179E-03,29.6764E-03,390.526,21.8517E+06
5,367.805E-12,29.6765E-03,389.047,27.0161E+06
6,367.805E-12,11.7469E-03,407.335,28.3533E+03
7,8.01332E-03,11.6469E-03,406.306,1.70868E+06
8,9.01498E-03,11.6469E-03,406.221,1.26677E+06
11,9.01479E-03,15.4880E-03,403.719,-2.90503E+06
12,9.01477E-03,16.4352E-03,403.445,-1.03703E+06
13,9.01474E-03,17.5085E-03,403.030,183.791E+03
14,9.01473E-03,18.7246E-03,402.521,1.24208E+06
15,9.01470E-03,20.1024E-03,401.812,2.22912E+06
16,11.0179E-03,23.6668E-03,398.482,6.83654E+06
17,11.0179E-03,26.2766E-03,395.573,15.3193E+06
18,7.34523E-03,29.6765E-03,389.254,23.3757E+06
19,3.67262E-03,29.6765E-03,389.211,25.9579E+06
20,367.805E-12,26.4900E-03,395.726,17.4973E+06
21,367.805E-12,23.8402E-03,399.612,7.04821E+06
22,367.805E-12,21.6367E-03,402.359,5.69303E+06
23,367.805E-12,19.8043E-03,403.857,4.70336E+06
24,367.805E-12,18.2805E-03,404.992,3.83831E+06
25,367.805E-12,17.0134E-03,405.722,3.16796E+06
26,367.805E-12,15.9598E-03,406.252,2.48855E+06
27,367.805E-12,15.0836E-03,406.608,1.83181E+06
28,367.805E-12,14.3549E-03,406.856,1.27304E+06
29,367.805E-12,13.7491E-03,407.024,817.665E+03
30,367.805E-12,13.2452E-03,407.139,488.423E+03
31,367.805E-12,12.8263E-03,407.215,273.767E+03
32,367.805E-12,12.4779E-03,407.267,115.254E+03
33,367.805E-12,12.1882E-03,407.300,107.590E+03
34,367.805E-12,11.9472E-03,407.322,78.6942E+03
35,200.354E-06,11.7468E-03,407.335,53.7206E+03
36,400.708E-06,11.7467E-03,407.332,14.3180E+03
37,601.060E-06,11.7463E-03,407.326,-31.4328E+03
38,801.414E-06,11.7459E-03,407.320,-17.4345E+03
39,1.00177E-03,11.7453E-03,407.312,36.0083E+03
40,1.20212E-03,11.7447E-03,407.302,-11.5331E+03
41,1.40247E-03,11.7438E-03,407.291,1.96510E+03
42,1.60282E-03,11.7429E-03,407.277,18.3249E+03
43,1.80317E-03,11.7418E-03,407.262,-13.356E+03
44,2.00352E-03,11.7407E-03,407.245,34.6883E+03
45,2.20387E-03,11.7393E-03,407.227,10.9218E+03
46,2.40422E-03,11.7379E-03,407.207,30.2823E+03
47,2.60457E-03,11.7363E-03,407.186,13.1694E+03
48,2.80491E-03,11.7347E-03,407.163,41.5304E+03
49,3.00526E-03,11.7328E-03,407.138,-38.8850E+03
50,3.20560E-03,11.7309E-03,407.111,1.70440E+03
51,3.40595E-03,11.7288E-03,407.084,12.6325E+03
52,3.60629E-03,11.7267E-03,407.056,10.1823E+03
53,3.80663E-03,11.7243E-03,407.025,45.0395E+03
54,4.00697E-03,11.7219E-03,406.994,-15.6980E+03
55,4.20730E-03,11.7193E-03,406.961,66.8627E+03
56,4.40764E-03,11.7166E-03,406.928,50.1195E+03
57,4.60797E-03,11.7138E-03,406.893,9.85354E+03
58,4.80831E-03,11.7109E-03,406.856,70.8119E+03
59,5.00864E-03,11.7078E-03,406.819,110.313E+03
60,5.20897E-03,11.7046E-03,406.782,230.737E+03
61,5.40929E-03,11.7013E-03,406.744,395.494E+03
62,5.60962E-03,11.6979E-03,406.706,558.795E+03
63,5.80994E-03,11.6943E-03,406.667,799.686E+03
64,6.01026E-03,11.6906E-03,406.627,1.02926E+06
65,6.21058E-03,11.6868E-03,406.587,1.22469E+06
66,6.41089E-03,11.6829E-03,406.552,1.60564E+06
67,6.61121E-03,11.6788E-03,406.516,1.95791E+06
68,6.81152E-03,11.6746E-03,406.480,1.98581E+06
69,7.01182E-03,11.6703E-03,406.444,2.04916E+06
70,7.21213E-03,11.6659E-03,406.413,2.23578E+06
71,7.41243E-03,11.6613E-03,406.376,2.27556E+06
72,7.61273E-03,11.6566E-03,406.359,2.07297E+06
73,7.81302E-03,11.6518E-03,406.319,1.68785E+06
74,8.21365E-03,11.6469E-03,406.269,1.49871E+06
75,8.52649E-03,11.6469E-03,406.273,1.13011E+06
76,9.01497E-03,12.1478E-03,406.233,963.943E+03
77,9.01493E-03,12.7879E-03,405.968,2.06149E+06
78,9.01491E-03,13.6061E-03,405.763,1.97244E+06
100,8.03045E-03,11.9032E-03,406.271,1.63308E+06
101,7.61477E-03,12.0503E-03,406.311,1.13744E+06
102,8.23255E-03,12.0165E-03,406.258,1.27969E+06
