NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,32.0428E-03,-4.01692E-03,335.932,1.34305E+06
2,29.1298E-03,-4.01678E-03,335.933,693.044E+03
3,26.2167E-03,-4.01670E-03,335.900,-2.19721E+06
4,23.3037E-03,-4.01666E-03,335.865,-896.044E+03
5,20.3907E-03,-4.01665E-03,335.817,1.45424E+06
6,17.4777E-03,-4.01665E-03,335.743,2.96792E+06
7,14.5647E-03,-4.01665E-03,335.629,3.74229E+06
8,11.6518E-03,-4.01666E-03,335.214,4.28550E+06
9,8.73883E-03,-4.01668E-03,334.533,4.95222E+06
10,5.82588E-03,-4.01669E-03,334.089,5.44873E+06
11,2.91294E-03,-4.01669E-03,333.985,5.61592E+06
12,-141.680E-42,-4.01670E-03,333.882,5.46550E+06
13,32.0426E-03,-7.35475E-03,331.821,2.11365E+06
14,29.1296E-03,-7.35461E-03,331.813,1.54842E+06
15,26.2166E-03,-7.35456E-03,331.790,2.65881E+06
16,23.3036E-03,-7.35454E-03,331.749,3.71413E+06
17,20.3907E-03,-7.35454E-03,331.687,4.17788E+06
18,17.4777E-03,-7.35455E-03,331.593,4.50187E+06
19,14.5647E-03,-7.35456E-03,331.429,4.63756E+06
20,11.6518E-03,-7.35456E-03,331.183,4.73120E+06
21,8.73884E-03,-7.35457E-03,330.892,5.02026E+06
22,5.82589E-03,-7.35458E-03,330.627,5.33673E+06
23,2.91294E-03,-7.35458E-03,330.457,5.44278E+06
24,-884.238E-39,-7.35458E-03,330.402,5.33362E+06
25,32.0424E-03,-10.6925E-03,326.928,6.19440E+06
26,29.1295E-03,-10.6924E-03,326.920,5.93612E+06
27,26.2165E-03,-10.6923E-03,326.897,10.2223E+06
28,23.3036E-03,-10.6923E-03,326.854,11.9120E+06
29,20.3906E-03,-10.6923E-03,326.788,12.5746E+06
30,17.4777E-03,-10.6923E-03,326.689,12.8823E+06
31,14.5647E-03,-10.6923E-03,326.553,13.2282E+06
32,11.6518E-03,-10.6923E-03,326.383,13.4670E+06
33,8.73884E-03,-10.6924E-03,326.198,13.6743E+06
34,5.82589E-03,-10.6924E-03,326.031,13.8358E+06
35,2.91295E-03,-10.6924E-03,325.914,13.9355E+06
36,-220.950E-39,-10.6924E-03,325.858,13.9540E+06
37,32.0423E-03,-14.0300E-03,321.270,8.29230E+06
38,29.1294E-03,-14.0300E-03,321.262,9.15703E+06
39,26.2165E-03,-14.0300E-03,321.239,14.3887E+06
40,23.3036E-03,-14.0300E-03,321.196,17.2340E+06
41,20.3906E-03,-14.0300E-03,321.130,18.9230E+06
42,17.4777E-03,-14.0300E-03,321.035,19.9680E+06
43,14.5647E-03,-14.0300E-03,320.911,20.7201E+06
44,11.6518E-03,-14.0300E-03,320.764,21.5312E+06
45,8.73884E-03,-14.0300E-03,320.609,22.0205E+06
46,5.82589E-03,-14.0300E-03,320.471,22.3005E+06
47,2.91295E-03,-14.0300E-03,320.373,22.4481E+06
48,-1.46998E-33,-14.0300E-03,320.328,22.5092E+06
