NodeLabel,xCoordinates,yCoordinates,Temperature,Stress
1,8.06030E-03,7.88619E-03,265.485,1.40099E+06
2,7.92974E-03,6.99087E-03,262.028,853.678E+03
3,8.98935E-03,7.93852E-03,265.325,-14.4568E+03
4,7.93014E-03,11.6126E-03,270.043,1.60225E+06
5,8.05879E-03,10.7469E-03,269.939,1.65589E+06
6,8.98968E-03,10.7454E-03,268.531,163.916E+03
7,5.97303E-39,7.98393E-03,265.927,1.60534E+06
8,-14.0130E-45,6.99132E-03,260.722,-260.998E+03
9,2.91150E-39,10.7219E-03,272.554,1.50516E+06
10,-9.80909E-45,11.7094E-03,272.187,-156.196E+03
11,8.06458E-03,7.70497E-03,265.000,1.08141E+06
12,8.06647E-03,7.53188E-03,264.505,873.689E+03
13,8.05323E-03,7.35970E-03,263.940,724.947E+03
14,8.03444E-03,7.18857E-03,263.302,897.005E+03
15,8.19820E-03,7.06103E-03,263.575,1.44908E+06
16,8.37709E-03,7.19602E-03,264.230,270.810E+03
17,8.51959E-03,7.31564E-03,264.690,417.159E+03
18,8.64107E-03,7.43164E-03,265.000,-65.2824E+03
19,8.75553E-03,7.55654E-03,265.219,45.9178E+03
20,8.88515E-03,7.70569E-03,265.346,23.5221E+03
21,8.80164E-03,7.87564E-03,265.468,456.008E+03
22,8.65314E-03,7.86425E-03,265.523,671.450E+03
23,8.50693E-03,7.85878E-03,265.533,820.959E+03
24,8.36241E-03,7.86410E-03,265.529,1.02488E+06
25,8.21178E-03,7.87228E-03,265.506,1.20733E+06
26,8.04585E-03,11.4318E-03,270.086,1.10420E+06
27,8.05960E-03,11.2678E-03,270.103,895.122E+03
28,8.07055E-03,11.0961E-03,270.073,1.08714E+06
29,8.06514E-03,10.9285E-03,270.024,1.28483E+06
30,8.21265E-03,10.7683E-03,269.785,1.43065E+06
31,8.36403E-03,10.7841E-03,269.617,1.24135E+06
32,8.50926E-03,10.7976E-03,269.443,979.515E+03
33,8.65312E-03,10.7999E-03,269.241,810.624E+03
34,8.80210E-03,10.7968E-03,268.997,526.391E+03
35,8.88690E-03,10.9713E-03,269.132,73.0685E+03
36,8.75163E-03,11.1204E-03,269.478,91.9803E+03
37,8.63346E-03,11.2443E-03,269.679,-112.649E+03
38,8.51340E-03,11.3532E-03,269.813,797.073E+03
39,8.37915E-03,11.4584E-03,269.927,1.79967E+06
40,8.20577E-03,11.5825E-03,269.995,2.82833E+06
41,8.04698E-03,10.5489E-03,269.822,1.95196E+06
42,8.03779E-03,10.3455E-03,269.666,2.21431E+06
43,8.02900E-03,10.1416E-03,269.482,2.35079E+06
