ElementId,Node1,Node2,Node3,Node4
1,  22,  23, 251, 249
2,  23,  24, 252, 251
3,  24,  25, 253, 252
4,  25,   1,  11, 253
5, 249, 251, 254, 248
6, 251, 252, 255, 254
7, 252, 253, 256, 255
8, 253,  11,  12, 256
9, 248, 254, 247, 244
10, 254, 255, 246, 247
11, 255, 256, 245, 246
12, 256,  12,  13, 245
13,  13,  14, 257, 245
14,  14,   2,  15, 257
15, 245, 257, 258, 246
16, 257,  15,  16, 258
17, 246, 258, 259, 247
18, 258,  16,  17, 259
19, 247, 259, 250, 244
20, 259,  17,  18, 250
21,  18,  19, 260, 250
22,  19,  20, 261, 260
23,  20,   3,  21, 261
24, 250, 260, 248, 244
25, 260, 261, 249, 248
26, 261,  21,  22, 249
27,  37,  38, 269, 266
28,  38,  39, 270, 269
29,  39,  40, 271, 270
30,  40,   4,  26, 271
31, 266, 269, 265, 262
32, 269, 270, 264, 265
33, 270, 271, 263, 264
34, 271,  26,  27, 263
35,  27,  28, 272, 263
36,  28,  29, 273, 272
37,  29,   5,  30, 273
38, 263, 272, 274, 264
39, 272, 273, 275, 274
40, 273,  30,  31, 275
41, 264, 274, 276, 265
42, 274, 275, 277, 276
43, 275,  31,  32, 277
44, 265, 276, 268, 262
45, 276, 277, 267, 268
46, 277,  32,  33, 267
47,  33,  34, 278, 267
48,  34,   6,  35, 278
49, 267, 278, 279, 268
50, 278,  35,  36, 279
51, 268, 279, 266, 262
52, 279,  36,  37, 266
53,   6,  34, 280,  66
54,  34,  33, 281, 280
55,  33,  32, 282, 281
56,  32,  31, 283, 282
57,  31,  30, 284, 283
58,  30,   5,  41, 284
59,  66, 280, 285,  65
60, 280, 281, 286, 285
61, 281, 282, 287, 286
62, 282, 283, 288, 287
63, 283, 284, 289, 288
64, 284,  41,  42, 289
65,  65, 285, 290,  64
66, 285, 286, 291, 290
67, 286, 287, 292, 291
68, 287, 288, 293, 292
69, 288, 289, 294, 293
70, 289,  42,  43, 294
71,  64, 290, 295,  63
