ElementId,Node1,Node2,Node3,Node4
1,  1,  2, 14, 13
2,  2,  3, 15, 14
3,  3,  4, 16, 15
4,  4,  5, 17, 16
5,  5,  6, 18, 17
6,  6,  7, 19, 18
7,  7,  8, 20, 19
8,  8,  9, 21, 20
9,  9, 10, 22, 21
10, 10, 11, 23, 22
11, 11, 12, 24, 23
12, 13, 14, 26, 25
13, 14, 15, 27, 26
14, 15, 16, 28, 27
15, 16, 17, 29, 28
16, 17, 18, 30, 29
17, 18, 19, 31, 30
18, 19, 20, 32, 31
19, 20, 21, 33, 32
20, 21, 22, 34, 33
21, 22, 23, 35, 34
22, 23, 24, 36, 35
23, 25, 26, 38, 37
24, 26, 27, 39, 38
25, 27, 28, 40, 39
26, 28, 29, 41, 40
27, 29, 30, 42, 41
28, 30, 31, 43, 42
29, 31, 32, 44, 43
30, 32, 33, 45, 44
31, 33, 34, 46, 45
32, 34, 35, 47, 46
33, 35, 36, 48, 47
