ElementId,Node1,Node2,Node3,Node4
1, 112, 110,  14,  15
2,   2,   3,  16, 181
3,  17, 261, 181,  16
4, 119, 281,  50,  51
5,  60, 122, 285,  59
6, 131,  63,  64, 127
7,  74, 102, 100,   7
8, 117,  54,  55, 283
9, 109, 110, 141, 140
10, 171, 170, 137, 140
11, 110, 109,  13,  14
12, 178, 250, 230, 206
13,   2, 181, 146, 114
14,   4,  18, 261,  17
15,   5,  20, 274,  19
16, 231, 273,  21,  22
17,  34,   6,  35, 275
18, 275, 157,  33,  34
19, 159, 157, 182, 291
20, 123,  46,  47, 154
21, 116,  48,  49, 129
22, 105, 108,  26,  27
23,  25,  26, 108, 111
24,  24,  25, 111, 113
25, 145, 143, 112, 114
26, 115, 231,  22,  23
27, 273, 230, 250, 207
28, 124,  38,  39, 277
29,  37,  38, 124, 276
30, 125,  42,  43, 279
31,  44, 151, 279,  43
32, 197, 133, 166, 193
33, 119, 301, 129, 281
34, 119,  51,  52, 282
35,  53,  54, 117, 128
36,  56, 126, 283,  55
37, 126,  56,  57, 284
38, 138, 137, 170, 202
39, 122,  60,  61, 130
40,  62, 120, 130,  61
41,  63, 131, 120,  62
42,  69, 287, 132,  68
43, 164, 287, 118, 300
44, 118,  70,  71, 288
45, 298, 102, 290, 103
46,  72,  73, 289, 101
47, 289,  73,   7, 100
48, 102,  74,  75, 290
49,   8,  76, 290,  75
50, 288,  71,  72, 101
51, 121,  67,  68, 132
52, 101, 300, 118, 288
53, 282, 162, 301, 119
54,  53, 128, 282,  52
55, 127, 299, 153, 131
56,  65, 286, 127,  64
57, 137, 138, 104, 106
58, 133, 134,  29,  30
59, 104, 107,   1,  11
60, 158, 120, 131, 153
61,  58,  59, 285, 160
62, 117, 283, 161, 306
63, 155, 116, 129, 191
64, 163,  66,  67, 121
65, 134, 136,  28,  29
66, 163, 299, 127, 286
67,  76,  77, 103, 290
68,  77,  78, 135, 103
69,  78,   1, 107, 135
70,  11,  12, 106, 104
71,  12,  13, 109, 106
72, 138, 169, 107, 104
73, 161, 305, 194, 316
74,  15,   2, 114, 112
75, 143, 141, 110, 112
76, 108, 139, 142, 111
77, 113, 115,  23,  24
78, 175, 174, 141, 143
79, 206, 309, 308, 177
80, 177, 175, 143, 145
81,  48, 116, 154,  47
82,  70, 118, 287,  69
83, 130, 120, 158, 192
84, 148, 122, 130, 192
85, 154, 116, 155, 188
86, 280,  45,  46, 123
87, 150, 124, 277, 292
88,  42, 125, 278,  41
89, 159, 166,  31,  32
90, 151,  44,  45, 280
91, 190, 101, 289, 298
92, 132, 196, 302, 121
93,  58, 160, 284,  57
94, 307, 306, 189, 317
95, 183, 280, 123, 297
96, 153, 299, 210, 312
97, 169, 198, 135, 107
98, 202, 243, 169, 138
99, 157, 275, 156, 182
100, 298, 289, 100, 102
101, 165, 103, 135, 198
102, 167, 197, 223, 199
103,  27,  28, 136, 105
104, 106, 109, 140, 137
105, 140, 141, 174, 171
106, 164, 196, 132, 287
107, 139, 108, 105, 172
108, 105, 136, 168, 172
109, 111, 142, 144, 113
110, 113, 144, 147, 115
111, 173, 176, 142, 139
112, 114, 146, 178, 145
113, 309, 206, 230, 180
114, 207, 146, 181, 261
115, 176, 179, 144, 142
116, 292, 277, 149, 294
117, 149,  40,  41, 278
118, 295, 125, 279, 186
119, 215, 238, 219, 212
120, 187, 212, 291, 182
121, 182, 156, 150, 187
122, 280, 183, 296, 151
123, 160, 152, 304, 284
124, 201, 170, 171, 203
125, 192, 184, 303, 148
126, 223, 219, 238, 314
127, 191, 129, 301, 310
128, 168, 136, 134, 167
129, 157, 159,  32,  33
130, 156,  36,  37, 276
131,  30,  31, 166, 133
132, 306, 161, 316, 189
133, 305, 304, 315, 194
134, 232, 188, 155, 191
135, 300, 217, 311, 164
136, 165, 190, 298, 103
137, 212, 219, 193, 291
138, 134, 133, 197, 167
139, 216, 297, 188, 239
140, 208, 313, 241, 210
141, 229, 249, 248, 205
142, 194, 315, 327, 234
143, 139, 172, 204, 173
144, 175, 179, 228, 174
145, 328, 325, 218, 254
146, 145, 178, 206, 177
147, 146, 207, 250, 178
148, 144, 179, 308, 147
149, 180, 231, 115, 147
150, 150, 156, 276, 124
151, 187, 150, 292, 293
152, 195, 220, 192, 158
153, 278, 185, 294, 149
154, 330, 322, 319, 257
155, 318, 317, 325, 211
156, 244, 314, 319, 322
157, 190, 217, 300, 101
158, 165, 198, 222, 221
159, 172, 168, 200, 204
160, 158, 153, 312, 195
161, 166, 159, 291, 193
162, 220, 236, 184, 192
163, 260, 227, 224, 247
164, 267, 258, 265, 256
165, 233, 221, 222, 253
166, 302, 208, 163, 121
167, 186, 321, 320, 295
168, 199, 200, 168, 167
169, 232, 191, 211, 240
170, 203, 171, 174, 228
171, 205, 248, 203, 228
172, 201, 225, 202, 170
173, 249, 229, 227, 260
174, 175, 177, 308, 179
175, 205, 176, 173, 229
176, 229, 173, 204, 227
177,  18,  19, 274, 261
178, 208, 210, 299, 163
179, 311, 233, 196, 164
180, 211, 191, 310, 318
181, 327, 315, 209, 184
182, 258, 332, 269, 265
183, 189, 316, 326, 218
184, 239, 188, 232, 252
185, 293, 215, 212, 187
186, 296, 213, 321, 186
187, 297, 216, 323, 183
188, 219, 223, 197, 193
189, 214, 185, 295, 320
190, 185, 214, 215, 294
191, 314, 244, 199, 223
192, 311, 217, 221, 233
193, 221, 217, 190, 165
194, 327, 184, 236, 251
195, 200, 224, 227, 204
196, 242, 195, 312, 210
197, 262, 255, 265, 269
198, 198, 169, 243, 222
199, 202, 225, 245, 243
200, 213, 235, 237, 321
201, 224, 200, 199, 244
202, 201, 226, 246, 225
203, 226, 201, 203, 248
204, 322, 247, 224, 244
205, 228, 179, 176, 205
206, 260, 264, 266, 249
207, 231, 180, 230, 273
208, 240, 211, 325, 328
209, 233, 253, 313, 196
210, 235, 213, 323, 216
211, 242, 255, 220, 195
212, 272, 270, 263, 251
213, 237, 319, 314, 238
214, 237, 214, 320, 321
215, 238, 215, 214, 237
216, 252, 232, 240, 329
217, 254, 264, 271, 328
218, 243, 245, 253, 222
219, 210, 241, 256, 242
220, 258, 225, 246, 332
221, 253, 245, 267, 324
222, 330, 257, 239, 252
223, 260, 247, 331, 264
224, 266, 270, 259, 249
225, 207, 261, 274, 273
226, 234, 327, 251, 263
227, 255, 262, 236, 220
228, 329, 271, 264, 331
229, 313, 253, 324, 241
230, 256, 265, 255, 242
231, 245, 225, 258, 267
232, 332, 259, 268, 269
233, 246, 226, 259, 332
234, 259, 226, 248, 249
235, 251, 236, 262, 272
236, 269, 268, 272, 262
237, 333, 326, 234, 263
238, 329, 240, 328, 271
239, 333, 266, 264, 254
240, 270, 266, 333, 263
241, 324, 267, 256, 241
242, 333, 254, 218, 326
243, 268, 259, 270, 272
244,  20,  21, 273, 274
245, 275,  35,  36, 156
246, 277,  39,  40, 149
247, 185, 278, 125, 295
248, 186, 279, 151, 296
249, 281, 129,  49,  50
250, 282, 128, 307, 162
251, 283, 126, 305, 161
252, 285, 122, 148, 303
253, 286,  65,  66, 163
254, 293, 292, 294, 215
255, 213, 296, 183, 323
256, 297, 123, 154, 188
257, 310, 301, 162, 318
258, 302, 196, 313, 208
259, 160, 285, 303, 152
260, 315, 304, 152, 209
261, 126, 284, 304, 305
262, 128, 117, 306, 307
263, 309, 180, 147, 308
264, 303, 184, 209, 152
265, 326, 316, 194, 234
266, 162, 307, 317, 318
267, 325, 317, 189, 218
268, 319, 237, 235, 257
269, 331, 330, 252, 329
270, 322, 330, 331, 247
271, 216, 239, 257, 235
272,   2,  15, 381,   3
273, 339, 340,  12,  11
274,  82, 337, 335,  81
275, 345, 350, 380, 349
276,  11,   1,  79, 339
277, 339,  79,  80, 341
278,  81, 335, 341,  80
279, 334, 336,  14,  13
280,  13,  12, 340, 334
281, 341, 346, 340, 339
282, 338,  83,  84, 345
283,  83, 338, 337,  82
284, 338, 345, 349, 344
285, 342, 337, 338, 344
286, 354, 360, 370, 358
287,  86, 353, 350,  85
288,  88, 360, 354,  87
289,   9,  90, 379,  89
290,  94, 371,  93,  10
291, 371, 364, 372, 361
292,  92, 361, 363,  91
293,   4,  17, 359,  99
294, 358, 368, 353, 354
295, 373, 372, 364, 365
296,  93, 371, 361,  92
297, 342, 383, 382, 343
298, 351, 355,  16,   3
299,  15,  14, 336, 381
300, 337, 342, 347, 335
301, 381, 336, 382, 352
302, 346, 341, 335, 347
303, 345,  84,  85, 350
304, 373, 365, 366, 374
305, 346, 343, 334, 340
306, 344, 384, 383, 342
307, 336, 334, 343, 382
308, 351, 352, 348, 355
309, 353,  86,  87, 354
310, 349, 356, 384, 344
311, 347, 342, 343, 346
312, 352, 351,   3, 381
313, 356, 357, 355, 348
314, 373, 374, 375, 376
315,  99, 359, 367,  98
316, 362, 370, 360, 379
317, 384, 356, 348, 383
318, 360,  88,  89, 379
319, 376, 378, 372, 373
320, 355, 357, 367, 359
321,  17,  16, 355, 359
322, 350, 353, 368, 380
323,  97, 366, 365,  96
324,  98, 367, 366,  97
325,  96, 365, 364,  95
326, 363, 379,  90,  91
327, 362, 379, 363, 378
328, 377, 375, 374, 369
329, 369, 374, 357, 356
330, 349, 380, 369, 356
331, 369, 380, 368, 377
332, 371,  94,  95, 364
333, 363, 361, 372, 378
334, 376, 375, 358, 370
335, 367, 357, 374, 366
336, 375, 377, 368, 358
337, 378, 376, 370, 362
338, 352, 382, 383, 348
