id,node1,node2,node3,node4
1,589,303,304,591
2,320,626,624,319
3,624,626,861,859
4,2255,2253,2079,2081
5,6400,4065,83,4085
6,4514,94,4465,6368
7,4933,4845,4847,6358
8,4831,4654,4766,4929
9,3816,3783,3671,3742
10,1067,1069,844,842
11,842,844,607,605
12,586,587,51,542
13,5889,933,586,662
14,3505,124,3051,3213
15,5572,110,5644,4160
16,4767,5934,4934,5654
17,3895,4024,4152,4155
18,2872,3029,2702,2563
19,2033,1846,1440,1836
20,757,985,999,770
21,757,770,572,571
22,303,589,891,302
23,1775,1956,2138,1978
24,2717,2556,2480,2877
25,4239,4842,4375,4140
26,4268,4362,4248,4039
27,3212,3361,3193,2889
28,215,5632,5635,5685
29,409,5858,5627,20
30,5627,5858,5632,215
31,5684,215,5685,5715
32,5615,5617,217,5682
33,17,5601,5598,403
34,220,5726,5734,5768
35,5814,244,5793,243
36,5831,5809,5804,5811
37,5678,5591,301,5704
38,5580,5586,44,528
39,5573,5574,43,526
40,5571,5573,526,525
41,5573,5571,5698,5655
42,5561,290,5646,5565
43,5614,5638,5640,5570
44,4577,4487,250,5610
45,3902,4162,4151,4037
46,199,3506,6160,3639
47,2902,2739,2565,2734
48,3047,2892,2700,5600
49,1859,5960,1858,157
50,5960,2026,2048,1858
51,2690,2719,2389,2542
52,159,3022,2830,5567
53,3886,6135,3171,3477
54,4122,3994,4138,4120
55,4209,4432,4376,4095
56,3554,3716,6305,3889
57,6313,3681,6254,3547
58,3269,3136,3117,3291
59,2807,2939,3131,2965
60,2297,2127,2129,2299
61,1549,1547,1745,1746
62,657,659,452,451
63,1118,895,893,1117
64,636,635,871,873
65,434,433,620,622
66,2077,2075,2251,2252
67,2593,2433,2432,2600
68,3377,3246,3248,6489
69,3653,3521,3673,6477
70,4304,4416,4191,3949
71,4329,167,6522,4424
72,4650,6447,4535,4684
73,4641,4534,4551,4645
74,4781,4899,4884,4825
75,6432,4149,6407,4368
76,6217,6218,3438,3414
77,6072,2526,2733,2517
78,1639,1832,2022,1833
79,1610,1449,1455,5931
80,1037,1256,803,805
81,10,806,805,384
82,385,808,806,10
83,389,155,819,11
84,12,1267,1036,391
85,5564,13,395,5569
86,5587,3638,5679,5560
87,4034,5559,3876,198
88,5755,269,5994,5733
89,288,5738,5754,5701
90,5574,5656,5657,5577
91,6311,3739,3833,3595
92,6,756,754,367
93,368,761,756,6
94,773,7,373,774
95,7,773,769,372
96,774,1007,1005,773
97,8,787,783,377
98,783,787,1019,1017
99,1015,780,783,1017
100,1660,1635,1448,1451
101,1434,1448,1635,126
102,2017,2015,5965,126
103,2981,6136,3046,3173
104,2838,6157,6136,2981
105,5,736,734,360
106,364,747,979,363
107,747,364,365,749
108,2344,113,2534,2511
109,3978,3964,6461,4071
110,6631,4994,6604,4903
111,4757,4655,4622,4824
112,5077,5179,5090,5057
113,102,4079,4062,3963
114,6158,3799,3664,3802
115,2281,2280,2111,2112
116,333,656,654,332
117,892,889,654,656
118,660,665,899,897
119,691,345,3,5843
120,1144,1353,1351,1142
121,2678,2307,2465,2815
122,3253,3434,3388,3315
123,4218,4321,4211,3948
124,3937,6482,4135,4205
125,4689,4609,116,4724
126,379,791,789,378
127,1024,791,793,1029
128,9,799,795,381
129,382,801,799,9
130,3644,5564,174,3211
131,397,5575,5593,14
132,5660,5667,5575,5579
133,6054,5801,6019,6018
134,5822,6009,246,5806
135,5825,5812,268,5798
136,5736,5775,5718,5875
137,5580,5658,5661,5586
138,5758,5704,301,5683
139,5667,5665,5593,5575
140,5662,5660,5579,5584
141,195,5756,5728,5662
142,5816,5835,5805,222
143,6057,5838,267,5971
144,5820,5785,267,5828
145,5807,5903,5785,5820
146,15,5584,5579,398
147,195,5588,5590,5673
148,5740,5722,5673,5717
149,5776,5823,5794,5964
150,6016,5959,244,5830
151,5619,16,402,193
152,5619,193,5668,5674
153,5793,5752,5768,243
154,404,5604,5601,17
155,18,5609,5604,404
156,405,5612,5609,18
157,5629,5635,411,24
158,5635,5629,5677,5685
159,5744,5691,278,5710
160,5743,5713,280,5765
161,5616,5618,538,537
162,5608,5611,536,535
163,5708,298,5603,5853
164,46,532,5636,299
165,5669,5636,300,5663
166,5804,5809,5904,5763
167,5821,5766,284,5789
168,5940,264,5802,5836
169,5833,5832,5810,5817
170,5829,5803,5818,262
171,241,5779,5787,5984
172,5750,5753,5792,5921
173,5703,5723,5677,259
174,24,412,5633,5629
175,278,5691,5630,5634
176,5870,5710,278,5688
177,295,5620,5618,5681
178,296,5616,5613,5675
179,5630,25,413,5634
180,5865,5626,5855,5854
181,5689,5865,294,5716
182,5631,26,414,5628
183,541,5628,414,27
184,5591,300,531,45
185,5663,300,5591,5678
186,45,530,301,5591
187,3780,5561,523,522
188,522,521,3641,3780
189,4038,4156,5892,4150
190,3866,3772,3635,4159
191,3489,201,3353,3632
192,3353,3203,3209,3499
193,3209,3203,2897,3056
194,1669,2568,520,519
195,2737,2568,1669,1861
196,3502,3358,3200,3635
197,4032,3216,6148,229
198,3354,201,3501,5585
199,2381,177,2726,2550
200,2897,3054,2726,177
201,3734,3880,3899,6264
202,2185,2217,2361,2371
203,1646,1661,1456,1471
204,779,781,502,501
205,765,997,998,766
206,767,768,497,496
207,34,492,755,760
208,989,755,492,491
209,487,33,744,746
210,991,1003,1204,1197
211,2170,2315,2352,2193
212,2352,2348,5983,2193
213,2971,6104,2990,2636
214,2672,2998,2843,210
215,1421,1617,1628,237
216,1628,1828,1995,1811
217,1396,1404,1197,1204
218,2539,2515,2718,3033
219,1820,1645,1648,1847
220,503,36,782,786
221,500,499,775,777
222,510,509,800,802
223,790,792,506,505
224,790,1022,1023,792
225,1437,1444,1659,255
226,2539,2396,2364,2515
227,6282,6286,6244,4012
228,180,3180,3483,3616
229,179,3487,3340,2853
230,3044,3198,2724,6004
231,3503,230,3215,6223
232,2400,2053,2558,6002
233,1663,2559,3218,273
234,818,1049,1052,820
235,818,820,517,516
236,816,818,516,515
237,812,1045,1047,814
238,275,1666,1262,5872
239,2053,2400,2559,5924
240,33,486,239,744
241,726,962,964,730
242,2141,1969,1965,2158
243,966,733,730,964
244,721,723,479,478
245,1794,1388,1583,1806
246,1387,1398,1546,1583
247,1798,1813,1993,1965
248,477,476,718,720
249,1160,932,931,1158
250,911,913,679,677
251,470,469,698,702
252,696,695,929,931
253,677,679,461,460
254,5680,5637,5676,110
255,5622,98,5676,5637
256,5933,4673,5907,4482
257,2729,3214,3196,2704
258,1462,1612,1634,1447
259,810,824,575,574
260,810,1038,1051,824
261,5606,5622,547,546
262,2210,1614,2000,5967
263,1797,1785,1604,6017
264,784,771,62,578
265,784,1026,1012,771
266,5597,5576,1866,1668
267,1201,1424,1408,1208
268,700,942,926,687
269,6017,1604,1616,1805
270,554,751,759,553
271,71,58,558,762
272,559,712,762,558
273,1191,1452,1212,978
274,751,981,990,759
275,2035,5597,1668,1845
276,584,583,700,687
277,1655,1658,1446,1438
278,5985,1631,1438,1427
279,6040,2144,2319,2356
280,3278,3421,3149,3021
281,3309,3017,3282,3419
282,2985,3049,6109,2858
283,3836,3571,3702,3952
284,4004,3740,6326,4084
285,2674,2732,2513,2555
286,2355,2376,2555,2513
287,6048,2840,2680,2709
288,1408,1835,64,1208
289,319,624,621,318
290,2282,2281,2112,2113
291,1149,1144,917,919
292,2304,2452,2095,6154
293,3385,3098,3271,3512
294,4819,4864,4794,4722
295,5101,5052,4981,5028
296,5254,5177,5233,5324
297,4291,4216,4285,4441
